,snapped_at,price,market_cap,total_volume,stars,forks,issues_opened,issues_closed,pulls_opened,pulls_merged,pulls_closed,commits,issue_comments
0,2015-08-07,2.83162,0.0,90622.0,0,0,9,2,5,6,0,12,2
1,2015-08-08,1.33075,80339475.0,368070.0,0,0,3,0,2,1,0,2,2
2,2015-08-10,0.6875857090838133,41556309.21112176,400464.0745435489,0,0,3,3,2,0,0,2,2
3,2015-08-11,1.067378879429946,64539006.306272194,1518998.2053373822,0,0,1,2,4,3,0,6,2
4,2015-08-12,1.256613175101658,76013261.05415402,2073893.3450314845,0,0,4,1,3,2,0,5,2
5,2015-08-13,1.825395446319752,110468836.22388984,4380142.704000345,0,0,1,2,5,4,1,8,2
6,2015-08-14,1.825974891355639,110555313.2602532,4355618.378552116,0,0,3,1,4,3,1,8,2
7,2015-08-15,1.670949668937766,101215246.3781064,2519633.270818144,0,0,2,1,2,2,0,5,2
8,2015-08-16,1.476607254205028,89480939.24025029,3032657.656405736,0,0,2,0,2,1,0,1,2
9,2015-08-17,1.20387143115441,87313387.94547918,1880092.2147175823,0,0,2,2,4,6,1,13,2
10,2015-08-18,1.281393051659975,92957858.0620156,1696013.472335737,0,0,2,2,4,3,1,9,2
11,2015-08-19,1.252738651679077,90920695.86547752,1537200.8409894055,0,0,9,8,6,6,1,11,2
12,2015-08-20,1.484195074171873,107749185.84108424,2967730.5022106003,0,0,2,1,0,0,0,5,2
13,2015-08-21,1.40631477379752,102131022.8278611,1742881.8081502889,0,0,2,0,1,0,1,0,2
14,2015-08-22,1.380721536476638,100308763.78229792,914588.6539745613,0,0,3,0,0,0,0,0,2
15,2015-08-23,1.355182100454404,98488001.44464436,1610695.872750647,0,0,3,0,0,0,0,0,2
16,2015-08-24,1.24657168269902,90625948.31797116,696476.5553267623,0,0,0,15,4,0,1,2,2
17,2015-08-25,1.160828327907264,84423109.08066371,1053169.3862050483,0,0,3,1,2,2,2,5,2
18,2015-08-26,1.119639156482987,81454879.46968535,1151700.041593045,0,0,5,4,10,5,3,8,2
19,2015-08-27,1.133690694008804,82504022.8230964,681460.2394411361,0,0,1,3,2,0,2,1,2
20,2015-08-28,1.188895698722608,86549490.63266213,715178.7899308845,0,0,3,6,2,1,2,3,2
21,2015-08-29,1.174343905252208,85515599.87435573,607200.891453558,0,0,0,0,2,1,0,2,2
22,2015-08-30,1.322350879918967,96321049.6917207,1045589.321256734,0,0,0,0,2,0,1,2,2
23,2015-08-31,1.353368417391325,98608290.53954794,1197102.0492865555,0,0,3,4,2,2,1,5,2
24,2015-09-01,1.350786688734447,98446826.49425755,610368.2430900692,0,0,0,3,6,3,2,7,2
25,2015-09-02,1.278810765308764,93224371.25915022,629746.119316548,0,0,3,5,4,3,1,5,3
26,2015-09-03,1.262770719520856,92075482.6329798,583923.7452450913,0,0,3,2,2,2,0,3,3
27,2015-09-04,1.269520099878085,92596631.55333725,333502.66115673864,0,0,3,1,1,0,0,0,2
28,2015-09-05,1.334976229386974,97402782.61913484,350815.4668948872,0,0,0,0,0,0,0,0,2
29,2015-09-06,1.29888313413515,94801706.70501994,317470.0943419727,0,0,2,0,2,0,0,2,2
30,2015-09-07,1.256223439965584,91718481.31789044,487005.2028033498,0,0,0,2,3,0,0,2,2
31,2015-09-08,1.236033260936938,90274690.39947064,419148.8018252036,0,0,1,1,2,2,0,6,2
32,2015-09-09,1.206529945086729,88150718.66876175,367774.3318949896,0,0,2,1,1,2,1,5,3
33,2015-09-10,1.167234841402144,85308945.82326,639527.9174929534,0,0,1,0,7,2,3,7,3
34,2015-09-11,0.976509092691504,71394234.94958797,1901710.694902119,0,0,4,2,2,3,0,6,2
35,2015-09-12,1.038203585306107,75931677.01254052,800623.2998453851,0,0,1,0,0,0,0,0,3
36,2015-09-13,0.9386521502557872,68673818.80135794,658895.1959938455,0,0,0,0,0,0,0,0,3
37,2015-09-14,0.87402296242848,63965969.21105757,739213.7259180878,0,0,1,3,5,3,2,8,3
38,2015-09-15,0.9418231857274298,68951445.2301325,725816.471124354,0,0,1,4,2,2,2,4,3
39,2015-09-16,0.9032199195724052,66147947.57992838,629370.0849072988,0,0,1,0,4,3,1,6,3
40,2015-09-17,0.8830787289063511,64693831.07862287,910704.9512256784,0,0,1,45,1,3,0,4,3
41,2015-09-18,0.8460709193872474,62003275.12077277,478606.3969218407,0,0,3,2,1,3,0,5,3
42,2015-09-19,0.8821037996855977,64666306.22983543,387803.6167124918,0,0,1,0,2,0,0,1,3
43,2015-09-20,0.9363277614869444,68666556.12460059,514836.1086247495,0,0,3,3,0,0,0,0,2
44,2015-09-21,0.9010928790890972,66105164.81214318,429253.50431215833,0,0,6,0,4,3,0,8,3
45,2015-09-22,0.8971422650551497,65835322.779180124,485738.9553869821,0,0,3,1,3,0,0,3,2
46,2015-09-23,0.8940475222994914,65633959.75465384,204065.4059008884,0,0,4,18,2,4,1,6,2
47,2015-09-24,0.8160373080893036,59927327.71396765,818263.068224302,0,0,1,1,1,0,0,1,2
48,2015-09-25,0.7405192998515878,54400658.247102216,901151.6190115964,0,0,0,0,2,1,0,3,3
49,2015-09-26,0.7778014991497727,57158415.438244216,379124.1859007531,0,0,0,0,0,0,0,0,2
50,2015-09-27,0.7213584231130563,53028193.82255717,408380.6390382605,0,0,0,0,0,0,0,0,2
51,2015-09-28,0.5830570046974366,42874816.97306375,1214056.2117823916,0,0,0,0,1,0,0,4,2
52,2015-09-29,0.657832489515796,48389042.90271223,936630.3296074624,0,0,2,1,3,1,0,6,2
53,2015-09-30,0.7347630535971914,54065419.5075397,640217.6226458604,0,0,2,1,1,2,2,6,2
54,2015-10-01,0.6858121897138929,50481342.52886205,588839.7815035215,0,0,1,6,1,2,0,2,4
55,2015-10-02,0.6762217338750541,49792779.28891763,220969.48495190177,0,0,4,1,3,2,0,4,4
56,2015-10-03,0.6874757575411915,50638684.01549935,163820.85347975112,0,0,2,1,1,0,1,0,4
57,2015-10-04,0.6675468579375702,49187272.3502002,104370.4507347284,0,0,2,1,0,0,0,0,3
58,2015-10-05,0.6282550742429386,46307572.65224096,221647.2070678533,0,0,2,1,2,3,0,7,2
59,2015-10-06,0.64565776230867,47605896.39364778,268523.03787593375,0,0,1,0,3,0,1,5,3
60,2015-10-07,0.6100126973575233,44984157.19104538,216715.5068486152,0,0,1,0,2,2,0,4,2
61,2015-10-08,0.6234833021554507,45977519.79859987,310876.1441075317,0,0,0,0,2,3,1,3,2
62,2015-10-09,0.650768764684828,47989631.2526218,379233.1220398259,0,0,3,0,1,1,1,4,3
63,2015-10-10,0.6297949417268295,46490996.55001768,145554.93808006204,0,0,1,0,0,0,0,0,8
64,2015-10-11,0.6370439806918999,47026115.24213034,87074.79961764446,0,0,2,0,1,0,0,1,5
65,2015-10-12,0.628787281832734,46416611.842303865,108895.52921643596,0,0,1,1,2,1,0,5,4
66,2015-10-13,0.6026272723327593,44485499.29942276,297117.07710031554,0,0,0,1,1,0,1,1,6
67,2015-10-14,0.517689435598842,38272635.02078042,944847.8047126096,0,0,0,0,1,0,0,0,4
68,2015-10-15,0.5614990042588522,41527413.54435173,376563.0715091993,0,0,2,2,1,3,1,4,6
69,2015-10-16,0.5331480200007419,39443831.31743269,247071.24723507115,0,0,1,0,3,4,1,5,4
70,2015-10-17,0.5490283089973744,40632190.61699083,317377.7617794195,0,0,2,2,0,0,1,0,6
71,2015-10-18,0.5184445473595721,38382124.41691709,133661.67045159836,0,0,0,1,0,0,0,0,4
72,2015-10-19,0.4870672984193326,36070935.31062339,240250.3765680933,0,0,5,0,2,0,1,1,3
73,2015-10-20,0.4329785990312485,32076052.631905656,352361.0618641571,0,0,0,2,0,1,0,1,3
74,2015-10-21,0.4397689744048958,32590298.008333907,599041.0131522977,0,0,1,0,2,3,0,4,4
75,2015-10-22,0.5654615066780281,41918540.78268511,979304.0724230008,0,0,1,0,4,2,0,7,3
76,2015-10-23,0.540737766800056,40100107.0136459,866798.4888542511,0,0,1,0,3,2,1,5,3
77,2015-10-24,0.5685737685118122,42179070.75754259,259157.6624106372,0,0,2,0,0,0,0,0,3
78,2015-10-25,0.6319388092249569,46895926.25706037,476617.738601437,0,0,0,0,0,1,0,2,5
79,2015-10-26,0.7439579097275092,55226993.78944921,1174026.819064362,0,0,0,0,1,0,0,3,4
80,2015-10-27,0.8544552504832845,63451496.574236006,1887568.905929,0,0,3,0,1,0,0,1,4
81,2015-10-28,1.010409721259424,75057962.81264551,2447633.797627517,0,0,4,1,4,4,0,9,3
82,2015-10-29,1.163748635576317,86478981.5524642,2236842.210445422,0,0,2,2,5,4,0,11,4
83,2015-10-30,1.041849054896385,77447839.42741764,2384549.998119618,0,0,0,3,2,2,1,3,4
84,2015-10-31,0.9070916284167456,67453442.47710526,652271.5873221146,0,0,0,0,1,1,0,2,5
85,2015-11-01,1.058541941291151,78742733.24541084,603996.1990296076,0,0,3,0,0,0,0,0,4
86,2015-11-02,0.955045860320044,71066352.05814125,970665.6783058536,0,0,0,0,0,0,0,0,3
87,2015-11-03,1.002344802929553,74613449.56251672,1878273.010921276,0,0,0,0,1,3,0,5,3
88,2015-11-04,0.9018086605486008,67152505.55125615,3218064.880847628,0,0,2,0,4,2,0,4,2
89,2015-11-05,0.906601136813436,67532501.09696001,1202885.3800460403,0,0,0,6,6,6,0,12,2
90,2015-11-06,0.9094421987209234,67767390.10082617,913629.1696859167,0,0,4,0,1,1,0,2,3
